GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016
0500000US12001,12001,"Alachua County, Florida",247336,247335,247625,249722,251587,252636,255786,259402,263496
0500000US12003,12003,"Baker County, Florida",27115,27115,27080,27073,27055,27001,27143,27424,27937
0500000US12005,12005,"Bay County, Florida",168852,168852,169257,169647,172029,174994,178860,181947,183974
0500000US12007,12007,"Bradford County, Florida",28520,28520,28537,28491,27141,26910,26682,26935,26926
0500000US12009,12009,"Brevard County, Florida",543376,543378,544008,544456,547753,551299,557299,567934,579130
0500000US12011,12011,"Broward County, Florida",1748066,1748146,1753125,1787889,1816552,1840051,1865385,1887281,1909632
0500000US12013,12013,"Calhoun County, Florida",14625,14625,14633,14769,14717,14634,14510,14468,14423
0500000US12015,12015,"Charlotte County, Florida",159978,159968,159935,159671,162937,165018,168595,173194,178465
0500000US12017,12017,"Citrus County, Florida",141236,141236,141263,139841,139341,139063,139264,140974,143621
0500000US12019,12019,"Clay County, Florida",190865,190865,191436,192375,194260,196276,199501,203383,208311
0500000US12021,12021,"Collier County, Florida",321520,321520,322724,327541,332332,339244,347899,356570,365136
0500000US12023,12023,"Columbia County, Florida",67531,67532,67584,67344,67949,67512,67942,68286,69299
0500000US12027,12027,"DeSoto County, Florida",34862,34862,34924,34670,34781,34641,35094,35355,35800
0500000US12029,12029,"Dixie County, Florida",16422,16422,16403,16365,16074,15955,15904,16187,16300
0500000US12031,12031,"Duval County, Florida",864263,864263,865825,872480,880870,886873,898372,912081,926255
0500000US12033,12033,"Escambia County, Florida",297619,297619,298164,299698,304218,307782,309449,311236,315187
0500000US12035,12035,"Flagler County, Florida",95696,95697,96089,97412,98605,100013,102471,105188,108310
0500000US12037,12037,"Franklin County, Florida",11549,11549,11534,11493,11637,11559,11678,11749,11901
0500000US12039,12039,"Gadsden County, Florida",46389,47746,47790,47340,46574,46034,46121,46032,46006
0500000US12041,12041,"Gilchrist County, Florida",16939,16939,16995,16987,16886,16912,16973,17181,17212
0500000US12043,12043,"Glades County, Florida",12884,12884,12938,13149,13007,13079,13439,13607,13970
0500000US12045,12045,"Gulf County, Florida",15863,15863,15814,15664,15669,15788,15936,15874,15990
0500000US12047,12047,"Hamilton County, Florida",14799,14799,14672,14605,14732,14344,14068,14303,14361
0500000US12049,12049,"Hardee County, Florida",27731,27731,27740,27633,27379,27255,27264,27252,27360
0500000US12051,12051,"Hendry County, Florida",39140,39140,39034,38873,37777,37630,38294,38890,39290
0500000US12053,12053,"Hernando County, Florida",172778,172775,172975,172909,173110,174019,175695,178326,182835
0500000US12055,12055,"Highlands County, Florida",98786,98786,98664,98308,98045,97817,98085,99447,100917
0500000US12057,12057,"Hillsborough County, Florida",1229226,1229224,1233839,1271205,1281677,1293189,1317116,1347077,1376238
0500000US12059,12059,"Holmes County, Florida",19927,19927,19860,19842,19739,19652,19640,19329,19487
0500000US12061,12061,"Indian River County, Florida",138028,138028,138243,139027,140650,141966,144740,147792,151563
0500000US12063,12063,"Jackson County, Florida",49746,49761,49614,49148,49011,48990,48786,48590,48229
0500000US12065,12065,"Jefferson County, Florida",14761,14761,14746,14506,14204,14191,14037,14071,13906
0500000US12067,12067,"Lafayette County, Florida",8870,8870,8813,8815,8811,8820,8832,8628,8617
0500000US12069,12069,"Lake County, Florida",297052,297047,297862,299926,303437,307922,315657,325518,335396
0500000US12071,12071,"Lee County, Florida",618754,618754,620590,630543,644096,660085,678048,700285,722336
0500000US12073,12073,"Leon County, Florida",275487,275480,275986,278362,283808,282071,284053,286187,287822
0500000US12075,12075,"Levy County, Florida",40801,40801,40721,40254,39935,39535,39418,39688,39961
0500000US12077,12077,"Liberty County, Florida",8365,8365,8338,8234,8247,8309,8345,8323,8202
0500000US12079,12079,"Madison County, Florida",19224,19226,19231,19079,18939,18724,18516,18398,18224
0500000US12081,12081,"Manatee County, Florida",322833,322833,323446,327373,334096,342246,351713,363110,375888
0500000US12083,12083,"Marion County, Florida",331298,331303,331437,332429,334294,335800,339079,343514,349020
0500000US12085,12085,"Martin County, Florida",146318,146850,146979,147694,148945,151237,153272,155804,158701
0500000US12086,12086,"Miami-Dade County, Florida",2496435,2498018,2507362,2573361,2607979,2641273,2667299,2692593,2712945
0500000US12087,12087,"Monroe County, Florida",73090,73090,73212,74096,74833,76204,76910,78728,79077
0500000US12089,12089,"Nassau County, Florida",73314,73314,73530,74162,74638,75606,76598,78470,80622
0500000US12091,12091,"Okaloosa County, Florida",180822,180822,180762,183245,190254,193408,195479,198681,201170
0500000US12093,12093,"Okeechobee County, Florida",39996,39996,40028,39449,39287,38989,39101,39409,40314
0500000US12095,12095,"Orange County, Florida",1145956,1145951,1148716,1169806,1202048,1225366,1253631,1284864,1314367
0500000US12097,12097,"Osceola County, Florida",268685,268683,269846,278906,289501,299822,311445,323028,336015
0500000US12099,12099,"Palm Beach County, Florida",1320134,1320134,1323897,1336175,1354987,1375619,1397526,1421843,1443810
0500000US12101,12101,"Pasco County, Florida",464697,464703,465517,466672,470762,475679,485447,497292,512368
0500000US12103,12103,"Pinellas County, Florida",916542,916812,916508,917879,922075,929085,937457,948391,960730
0500000US12105,12105,"Polk County, Florida",602095,602095,603213,609669,615294,622656,634932,649425,666149
0500000US12107,12107,"Putnam County, Florida",74364,74364,74245,73688,73021,72377,71936,71910,72277
0500000US12109,12109,"St. Johns County, Florida",190039,190038,191266,196050,202308,209607,218151,226658,235087
0500000US12111,12111,"St. Lucie County, Florida",277789,277257,278285,280907,283726,286138,291002,298307,306507
0500000US12113,12113,"Santa Rosa County, Florida",151372,151372,152952,155739,158366,160649,163154,166850,170497
0500000US12115,12115,"Sarasota County, Florida",379448,379435,380040,381666,386135,389911,396537,404903,412569
0500000US12117,12117,"Seminole County, Florida",422718,422718,423083,427064,431487,436512,442326,448722,455479
0500000US12119,12119,"Sumter County, Florida",93420,93420,94280,98584,102790,108263,114012,118882,123996
0500000US12121,12121,"Suwannee County, Florida",41551,41551,42312,43349,43492,43550,43777,43651,43794
0500000US12123,12123,"Taylor County, Florida",22570,22568,22571,22685,22762,22884,22619,22471,22175
0500000US12125,12125,"Union County, Florida",15535,15535,15533,15231,15235,15069,15170,15180,15142
0500000US12127,12127,"Volusia County, Florida",494593,494597,494638,494523,497279,501282,507913,518190,529364
0500000US12129,12129,"Wakulla County, Florida",30776,30783,30833,30948,30805,30972,31384,31516,31893
0500000US12131,12131,"Walton County, Florida",55043,55043,55244,55673,57330,59411,61550,63459,65889
0500000US12133,12133,"Washington County, Florida",24896,24896,24752,24583,24856,24614,24424,24671,24569
